,Dataset,Subject,Retest,Ix,Fullname,Sxfm,Dxfm,Clustering,Degree,Homophilic,Homotopic
17824,UM,0026144,1,2228,UM_0026144_1,raw,raw,(0.16881961022704192+0j),13.653541488114282,0.31156514959613246,0.22183161149295255
17825,UM,0026144,1,2228,UM_0026144_1,raw,zscore,(0.10796152050941435+0.05555223923681037j),-7.073460741645964,0.024343640078756047,0.14821338184464172
17826,UM,0026144,1,2228,UM_0026144_1,raw,ptr,(0.397794389072847+0j),32.52156334231807,0.48791952215658757,0.11344682723965305
17827,UM,0026144,1,2228,UM_0026144_1,raw,combat,(0.17733395613693956+0.0024487643644904513j),12.864510923940204,0.33737471577621114,0.20365013616776673
17828,UM,0026144,1,2228,UM_0026144_1,ptr,raw,(0.4244946282827178+0j),34.51071539496843,0.31156514959613246,0.22183161149295255
17829,UM,0026144,1,2228,UM_0026144_1,ptr,zscore,(0.23461321365248533+0.12011558818229758j),0.2708724205515054,0.06065631927931568,0.0839353770872332
17830,UM,0026144,1,2228,UM_0026144_1,ptr,ptr,(0.4237834780839957+0j),34.439167527257986,0.5135058358901602,0.11114242201034219
17831,UM,0026144,1,2228,UM_0026144_1,ptr,combat,(0.41643522476292083+0.004519934892597321j),34.87167479731772,0.3348991691671443,0.15476406675424492
17832,UM,0026144,2,2229,UM_0026144_2,raw,raw,(0.16298969171278915+0j),12.560068928245714,0.999893626469562,0.4794525273446423
17833,UM,0026144,2,2229,UM_0026144_2,raw,zscore,(0.14174801964040748+0.0782906448426565j),-15.90406120687707,0.9708892762849787,0.2035534725567445
17834,UM,0026144,2,2229,UM_0026144_2,raw,ptr,(0.3711794199473064+0j),30.232345013477087,0.999970987344407,0.13771982774202213
17835,UM,0026144,2,2229,UM_0026144_2,raw,combat,(0.1707428298969277+0.002946015703091388j),11.877732244176723,0.9997498564382145,0.3385465331895852
17836,UM,0026144,2,2229,UM_0026144_2,ptr,raw,(0.42424135982382005+0j),34.51071539496843,0.999893626469562,0.4794525273446423
17837,UM,0026144,2,2229,UM_0026144_2,ptr,zscore,(0.2093001930704382+0.10936346856909658j),-0.04056366341346467,0.9985958007378388,0.20684365356247092
17838,UM,0026144,2,2229,UM_0026144_2,ptr,ptr,(0.42770920797143225+0j),34.55415734108889,0.9999610774676082,0.1459766089697821
17839,UM,0026144,2,2229,UM_0026144_2,ptr,combat,(0.41246975131617286+0.004430192940469965j),34.79757955005771,0.9999367559885778,0.3851364063110586
17840,UM,0026145,1,2230,UM_0026145_1,raw,raw,(0.17798475277748763+0j),14.101116668499714,0.1031100517994587,0.999246671012143
17841,UM,0026145,1,2230,UM_0026145_1,raw,zscore,(0.14083218722716004+0.07158983818845707j),-4.8597738238880135,0.0006017187045646591,0.9976647008413692
17842,UM,0026145,1,2230,UM_0026145_1,raw,ptr,(0.4115018307249925+0j),33.29254267744834,0.19513084539853637,0.9940792475769628
17843,UM,0026145,1,2230,UM_0026145_1,raw,combat,(0.17143347093651298+0.0018709294768605434j),13.289538244934171,0.13299428471622088,0.9989134230649424
17844,UM,0026145,1,2230,UM_0026145_1,ptr,raw,(0.4257248649322677+0j),34.51071539496841,0.1031100517994587,0.999246671012143
17845,UM,0026145,1,2230,UM_0026145_1,ptr,zscore,(0.24412931092930334+0.12364925852371615j),0.10369430519979225,0.0013909870135394805,0.9985733502594648
17846,UM,0026145,1,2230,UM_0026145_1,ptr,ptr,(0.42807753992618286+0j),34.41624340271039,0.16956615614297282,0.9952999532641846
17847,UM,0026145,1,2230,UM_0026145_1,ptr,combat,(0.39543780565767417+0.0026522291171769785j),34.732504601721786,0.12445020843340143,0.9986047449800514
17848,UM,0026145,2,2231,UM_0026145_2,raw,raw,(0.20589022929162612+0j),16.12403524451429,0.986796214661936,0.2956564376351339
17849,UM,0026145,2,2231,UM_0026145_2,raw,zscore,(0.13571621595464953+0.06377249508865816j),12.78912662478073,0.9487743358849394,0.1038457336512833
17850,UM,0026145,2,2231,UM_0026145_2,raw,ptr,(0.4710803751433413+0j),37.596495956873326,0.9995940433816435,0.09936706285141861
17851,UM,0026145,2,2231,UM_0026145_2,raw,combat,(0.18732710377750703+0.003298815309963933j),15.299936216485898,0.9912089564598817,0.22036632166131104
17852,UM,0026145,2,2231,UM_0026145_2,ptr,raw,(0.42559422171108147+0j),34.51071539496842,0.986796214661936,0.2956564376351339
17853,UM,0026145,2,2231,UM_0026145_2,ptr,zscore,(0.240246264141417+0.11574913169695607j),-0.636807542983391,0.9239287393604487,0.10080843191593719
