,Dataset1,Dataset2,Transform,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex
336,NYU1,JHNU,raw,0.5857523462377684,3.6017871468838073e-19,0.09347828197709587,0.00022384017763509042
337,NYU1,JHNU,ptr,,,,
338,NYU1,JHNU,zscore,,,,
339,NYU1,JHNU,combat,-0.04116985216803659,1.0,0.04490137285923739,0.00787498792785877
340,NYU1,Utah1,raw,0.23404951663411008,2.974187436848928e-08,0.1362862050200871,1.8788204545169807e-05
341,NYU1,Utah1,ptr,-0.11321673932244446,1.0,-0.012888628164396884,1.0
342,NYU1,Utah1,zscore,-0.09233456053046489,1.0,-0.0063813092844487275,0.6632716429325708
343,NYU1,Utah1,combat,-0.03414375167093802,1.0,0.02127481905100391,0.054350478641131725
344,NYU1,IBATRT,raw,0.4574904210038524,2.3843342553784786e-14,0.036830217077917386,0.017921798925044214
345,NYU1,IBATRT,ptr,-0.1101528051673586,1.0,0.034833075829043256,0.020673193083700494
346,NYU1,IBATRT,zscore,-0.09681371694287853,1.0,0.03518472293205644,0.020158796741398716
347,NYU1,IBATRT,combat,-0.03625104853984219,1.0,0.037000401764667415,0.017705558500309453
348,NYU1,LMU3,raw,0.4632421993549805,1.654480849214186e-14,0.09686930633090554,0.00029393334079259246
349,NYU1,LMU3,ptr,-0.12297401337007079,1.0,0.04694981778750926,0.008771710273904117
350,NYU1,LMU3,zscore,-0.10496031398014391,1.0,0.04826584480555735,0.008001088552732443
351,NYU1,LMU3,combat,-0.036949175843286594,1.0,0.0568048894185753,0.004425033518578523
352,NYU1,SWU1,raw,0.3926294697899215,2.4421947982492477e-13,0.07513442934765768,0.0008782972668479622
353,NYU1,SWU1,ptr,-0.11095105716160508,1.0,0.09547158678995653,0.00020407432253026137
354,NYU1,SWU1,zscore,-0.09759967802498919,1.0,0.09819522016184559,0.00016806661541395957
355,NYU1,SWU1,combat,-0.038704044901834156,1.0,0.09708411260573643,0.00018191147211033413
356,NYU1,IPCAS5,raw,0.4537856665175113,1.2049951624992363e-13,0.2128439905126044,2.8801688146857155e-07
357,NYU1,IPCAS5,ptr,,,,
358,NYU1,IPCAS5,zscore,,,,
